,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,url
1905_21,0.0,0.011937346258490375,0.0,0.0,0.00376454128797494,0.034311881288658294,0.0,0.0,0.0,0.0,0.0,0.038769416308173425,0.01568781777188117,0.0,0.0014318659163306943,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/21.html
1905_22,0.0,0.0,0.0,0.0,0.11840373126838807,0.0,0.0,0.0,0.0,0.011274963868739643,0.0,0.0,0.002055012707007997,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/22.html
1905_23,0.01622219855756127,0.0,0.0,0.0,0.0,0.13504755409645885,0.0,0.0,0.0,0.0,0.0,0.0,0.004339184434469941,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/23.html
1905_24,0.0,0.09043717758999247,0.0,0.0,0.018376056613078073,0.0,0.0,0.003988361387378167,0.0002875144813997705,0.010976806515563523,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/24.html
1905_25,0.0,0.000715024561332027,0.0,0.0047959543767535475,0.009350848431888579,0.03601274974948753,0.0,0.0,0.0004584847611086937,0.0,0.0,0.013820068559649469,0.049552020304784054,0.01260149803770822,0.03027345149147122,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/25.html
1905_26,0.012776913490107508,0.005109081646107551,0.00479858558189597,0.0,0.02234452848796059,0.0,0.006104410675554156,0.0,0.0,0.0,0.022936763874372275,0.005400613625290283,0.002938216264717676,0.024576348906148973,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/26.html
1905_27,0.0,0.0016731195990357564,0.0,0.0,0.004352190024423585,0.0014716755028380305,0.0,2.9750561479529488e-05,0.0009265878998916226,0.0,0.0,0.00263352361810376,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/27.html
1905_28,0.0,0.0014270970135477534,0.0003334582917960935,0.01868799452918573,0.0022611904801933206,0.019612705738889413,0.0,0.0,0.0,0.0,0.0,0.012018389750444078,0.002525812237213304,0.02427913199980393,0.0021049031263086137,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/28.html
1905_29,0.0011271906278681658,0.0,0.017393700652230133,0.00044350289204854714,0.005325171220721934,0.0,0.03831905412653469,0.0,0.0,0.0008278042570487629,0.0,0.036196616117406356,0.0,0.011506933634015388,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/29.html
1905_30,0.0,0.08064437039893996,0.0,0.0002753607247907587,0.0,0.0,0.0,0.0,0.0,0.02911190849603117,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/30.html
1905_31,0.0,0.060272943690229355,0.0,0.0,0.008129506337936635,0.0,0.0,0.002975527785960853,0.015972107656529254,0.016107430559843528,0.0,0.0031858733524482417,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/31.html
1905_32,0.0,0.0,0.0,0.0005949267786152923,0.0,0.06565138132929371,0.0,0.015536010493797794,0.015175095508762521,0.0,0.0,0.023852980765743,0.00803757370403857,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/32.html
1905_33,0.0,0.0045208532337550275,0.0,0.014714993270734457,0.008944117011364472,0.0,0.0,0.08861456867144674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/33.html
1905_34,0.0,0.03256697329830614,0.0,0.0,0.004400576187451919,0.0,0.0,0.0,0.0,0.0,0.0,0.08220208331577522,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/34.html
1905_35,0.0,0.0020090313780569465,0.0,0.06766264331757611,0.009400583539159393,0.008396935057211884,0.0,0.017755823327651774,0.0,0.0,0.005365547906496587,0.0,0.0,0.008319948880674062,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/35.html
1905_36,0.0,0.005757110091188275,0.0007461709305783067,0.0,0.0,0.0,0.0,0.0,0.0,0.005305619711123001,0.04055350684427211,0.0,0.005840915108336679,0.006036326704421056,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/36.html
1905_37,0.0,0.0,0.0,0.06590089576780919,0.0011135076481511856,0.0,0.0,0.0,0.0,0.0,0.007560878913006183,0.0017919813927800953,0.0,0.0,0.04692149017868843,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/37.html
1905_38,0.002838167434047438,0.0008804071958351766,0.0,0.01576548702204613,0.0,0.004212637500226027,0.033067320948322376,0.00038849686976283635,0.008072436416542142,0.0,0.0,0.005586908123676875,0.0,0.0,0.07126246023503563,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/38.html
1905_39,0.0,0.0,0.0,0.0024738641803235275,0.007881118402252562,0.0,0.0,0.0004025801717957315,0.0,0.002201705390307573,0.0,0.002190761164218634,0.0,0.0049514591717298925,0.002103304029789091,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/39.html
1905_40,0.0,0.0,0.0,0.003902780466393159,0.004990060775970048,0.043069868086373864,0.0,0.007056815489966105,0.007705952654588,0.0,0.0,0.010830740558322997,0.004942514783815134,0.0,0.0013500083163433996,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/40.html
1905_41,0.0,0.056743125111071324,0.0,0.0,0.0018102057008922354,0.0,0.005143899646939029,0.015320357859643382,0.004844411697831577,0.0,0.0,0.014527122211802175,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/41.html
1905_42,0.0,0.0036826005828385854,0.0,0.004367202199812906,0.0017536790206449373,0.01997446594553743,0.0,0.0,0.024904450246410994,0.0,4.736688998140059e-05,0.06297746451050457,0.0,0.0,0.018255610049039667,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/42.html
1905_43,0.0,0.0014257019908869807,0.004604542606394395,0.0012249292640751307,0.02964910526933691,0.0,0.1190015501478247,0.0,0.001620905004540495,0.0,0.0,0.02419834231468213,0.0,0.0,0.0017290153819698758,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/43.html
1905_44,0.0,0.0,0.0,0.0,0.009761597625773593,0.05786998128671661,0.0005949209933501293,0.009467543990470733,0.002502102174486541,0.0,0.0,0.023137139527935783,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/44.html
1905_45,0.0,0.0,0.0,0.0005883307385742563,0.0,0.0,0.0,0.0005931394081627842,0.0,0.0,0.0,0.13830584113478692,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/45.html
1905_46,0.004561606934486,0.00047618660517107593,0.07732086466873352,0.0,0.00657018380080696,0.0,0.014819100965368806,0.0,0.0,0.0,0.00729601438799295,0.00046436047787042176,0.0016086401820983864,0.0006214596839427721,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/46.html
