,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,url
1904_56,0.0,0.004237559527060919,0.011117702989028177,0.004061033137850569,0.03722192065524926,0.00043310989369906987,0.0,0.0,0.0,0.005033416684139791,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/56.html
1904_57,0.05302003061053356,0.0,0.0,8.978317213261211e-05,0.08435434852551812,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1904/57.html
1905_1,0.0,0.0010162775369068,0.0,0.0282620537482293,0.00013061299305337394,0.0542381406697322,0.0,0.02039499412455023,0.0024143007750746536,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/1.html
1905_2,0.0,0.0,0.0011988225838176444,0.035081465258697916,0.01097615057454415,0.0008589154806891969,0.0,0.02886073990926691,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/2.html
1905_3,0.0,0.0,0.0,0.0,0.008778587301235173,0.0,0.0,0.0040513074526214886,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/3.html
1905_4,0.0,0.0,0.0,0.0,0.0,0.04851603374522128,0.0,0.014049378705915931,0.005737431735320012,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/4.html
1905_5,0.0,0.0,0.0,0.0,0.010110838611208128,0.012524787273912655,0.0,0.008517165304151154,0.05542963618940776,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/5.html
1905_6,0.0,0.0036906833376683635,0.0,0.0,0.017906895330902877,0.0,0.0,0.0,0.0,0.00116732553797579,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/6.html
1905_7,0.0,0.01646973429656334,0.0,0.0,0.0,0.0,0.0,0.09165720550991541,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/7.html
1905_8,0.0,0.0,0.0,0.0,0.008643766555473109,0.0,0.0,0.0876828158949607,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/8.html
1905_9,0.0,0.013228510458879081,0.0,0.0,0.011100346704724975,0.0,0.0,0.0008004597853492843,0.00041016334106968065,0.038357692108936275,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/9.html
1905_10,0.0,0.0,0.0,0.0007291136010993249,0.014626368394479084,0.0007615116667586195,0.0,0.0041948651448301955,0.0,0.024386233829610676,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/10.html
1905_11,0.0,0.0,0.0,0.0,0.057332123926856354,0.000657502162799525,0.0,0.005412006806552383,0.0,0.0011411137428043352,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/11.html
1905_12,0.0011276665392877122,0.0,0.0,0.05117162374920535,0.0,0.021409421144708052,0.023227155311722415,0.010572030599121002,0.00834916625755057,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/12.html
1905_13,0.0,0.024768262164114943,0.02686420029708048,0.0,0.007635363557109142,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/13.html
1905_14,0.0004323537928226224,0.007083184079278222,0.002701564342959052,0.0,0.008116344569424276,0.007388908540971641,0.0018634117205251156,0.015505324173911572,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/14.html
1905_15,0.0,0.0,0.0,0.07123599212943442,0.008087107434562077,0.023665291897089286,0.0,0.0,0.008930863881840155,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/15.html
1905_16,0.0006983266568219449,0.0,0.0,0.003736522391009716,0.012754213398896317,0.0,0.000928714904629593,0.004007045165073571,0.0018902582252621424,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/16.html
1905_17,0.0,0.0,0.016410487144478923,0.0,0.02878852376213068,0.0,0.011941555144480765,0.031410733718261225,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/17.html
1905_18,0.0,0.0,0.0,0.017859093996224987,0.0,0.08079173121807184,0.0,0.0,0.0,0.0029018338514728895,http://classic.austlii.edu.au/au/cases/cth/HCA/1905/18.html
