,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,url
1937_79,0.0,0.0012531355520303577,0.0,0.0,0.0012919815538048256,0.0,0.0,0.0,0.0,0.0025063274023394235,0.0,0.0,0.09143806009965084,0.0,0.0,0.0,0.0,0.0,0.0,0.0006484733767120385,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/79.html
1937_80,0.0,0.014902400821411171,0.0,0.0,0.004921722432068971,0.009136025199325862,0.0,0.0,0.0,0.001275480476044017,0.0,0.0,0.08147652196397698,0.008034246029167741,0.0,0.006090647509661111,0.0,0.0,0.0,0.001206804692281909,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/80.html
1937_81,0.0,0.0,0.0,0.016346801808678806,0.0,0.005316178009112536,0.0,0.0,0.05165087525826517,0.0,0.0,0.1294855916588123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/81.html
1937_82,0.0,0.0,0.0,0.0010686542481576397,0.03468719289761866,0.0,0.0,0.0065228219676182145,0.0,0.0,0.0032688704077251346,0.0,0.0,0.01789763394596025,0.0,0.006530235410055265,0.015764572228648126,0.0,0.0,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/82.html
1937_83,0.0,0.04951565942781536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020581107718297607,0.0,0.0,0.07622435943403232,0.004728767709533422,0.0,0.0,0.0,0.0,0.0,0.0031412656054216523,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/83.html
1937_85,0.0,0.002891126126235819,0.0,0.0053804518614648305,0.0037200999415994396,0.0,0.0,0.0,0.0,0.0,0.0,0.002183862845851045,0.0002168098095531657,0.02982047824264918,0.00206799533368307,0.008746563044383133,0.0,0.0,0.0,0.005093059242693005,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/85.html
1937_86,0.0,0.00025717857617019136,0.005211481113622161,0.0,0.0073048362231298795,0.0,0.0,0.0009477485053832556,0.007844993749765725,0.0,0.009027120282319568,0.0,0.0,0.009800777866063235,0.0,0.0,0.0002869132950566128,0.12255940286891896,0.01651391542010075,0.0,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/86.html
1937_87,0.0,0.008383328467063186,0.0,0.0,0.008110160068127955,0.0,0.0,0.0,0.0004383856658009575,0.0022248230462611116,0.0010812116785662814,0.0,0.0,0.029414258850138687,0.0,0.0036394112400107473,0.0,0.001508086155214721,0.0,0.006665934595205838,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/87.html
1937_88,0.08657111248358826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06046120132446741,0.0,0.0,0.0010471618177261774,0.0,0.018193359843453345,0.00031324847854548733,0.0,0.0,0.0,0.009492191648606783,0.0010605474124627306,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/88.html
1937_90,0.0,0.005933167562612253,0.002714159437470291,0.0,0.0036740251170834155,0.0,0.0,0.0013124315865289454,0.0007384057244465323,0.0,0.0,0.0,0.0,0.0035996306761567056,0.010091566182680142,0.0014596666293467421,5.9418980303090825e-05,0.002064615676774872,0.0,0.05198403079945716,http://classic.austlii.edu.au/au/cases/cth/HCA/1937/90.html
